COST_CENTER,COST_CENTER_DEPARTMENT,COST_CENTER_NT2,PROVINCE,PROVINCE (THAI),ZIPCODE,กลุ่มงาน,ส่วน,ฝ่าย,สายงาน,อักษรย่อส่วน,อักษรย่อฝ่าย,COST_CENTER_NT1.5,ส่วน 1.5,สายงาน 1.5,กลุ่มงาน 1.5,ฝ่าย 1.5,อักษรย่อฝ่าย 1.5,หมายเหตุ
1A00000,1A00000,T0000,Bangkok,กรุงเทพมหานคร,10210,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,รจญ.ว.,ว.,1A00000,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,ว.,
2A00001,1A00000,T0000,Bangkok,กรุงเทพมหานคร,10210,สายงานตรวจสอบ,ส่วนวางแผนและพัฒนาการตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,ผบว.,ว.,2A00001,ส่วนวางแผนและพัฒนาการตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,สายงานตรวจสอบ,ว.,
2A10000,2A10000,T0004,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,กลุ่มตรวจสอบ,กลุ่มตรวจสอบ,สายงานตรวจสอบ,ชจญ.ว.,ว.,2A10000,กลุ่มตรวจสอบ,สายงานตรวจสอบ,กลุ่มตรวจสอบ,กลุ่มตรวจสอบ,ว.,
2A10100,2A10100,TA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,บว.,บว.,2A10100,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,บว.,
2A10101,2A10100,TA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการหลักที่ 1,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,สบว.1,บว.,2A10101,ส่วนตรวจสอบกระบวนการหลักที่ 1,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,บว.,
2A10102,2A10100,TA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการหลักที่ 2,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,สบว.2,บว.,2A10102,ส่วนตรวจสอบกระบวนการหลักที่ 2,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,บว.,
2A10103,2A10100,TA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการหลักที่ 3,ฝ่ายตรวจสอบกระบวนการหลัก,สายงานตรวจสอบ,สบว.3,บว.,2A10103,ส่วนตรวจสอบกระบวนการหลักที่ 3,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการหลัก,บว.,
2A10200,2A10200,TC000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,สว.,สว.,2A10200,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สว.,
2A10201,2A10200,TC000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 1,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,สสว.1,สว.,2A10201,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 1,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สว.,
2A10202,2A10200,TC000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 2,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,สสว.2,สว.,2A10202,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 2,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สว.,
2A10203,2A10200,TC000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 3,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สายงานตรวจสอบ,สสว.3,สว.,2A10203,ส่วนตรวจสอบกระบวนการสนับสนุนที่ 3,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบกระบวนการสนับสนุน,สว.,
2A10300,2A10300,TD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,สายงานตรวจสอบ,ทว.,ทว.,2A10300,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,ทว.,
2A10301,2A10300,TD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบเทคโนโลยีสารสนเทศที่ 1,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,สายงานตรวจสอบ,สทว.1,ทว.,2A10301,ส่วนตรวจสอบเทคโนโลยีสารสนเทศที่ 1,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,ทว.,
2A10302,2A10300,TD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบเทคโนโลยีสารสนเทศที่ 2,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,สายงานตรวจสอบ,สทว.2,ทว.,2A10302,ส่วนตรวจสอบเทคโนโลยีสารสนเทศที่ 2,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,ทว.,
2A10303,2A10300,TD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มตรวจสอบ,ส่วนตรวจสอบเทคโนโลยีสารสนเทศที่ 3,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,สายงานตรวจสอบ,สทว.3,ทว.,2A10303,ส่วนตรวจสอบเทคโนโลยีสารสนเทศที่ 3,สายงานตรวจสอบ,กลุ่มตรวจสอบ,ฝ่ายตรวจสอบเทคโนโลยีสารสนเทศ,ทว.,
1B00000,1B00000,S0002,Bangkok,กรุงเทพมหานคร,10210,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,กจญ.,กจญ.,1B00000,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,กจญ.,
1B00200,1B00200,SH000,Bangkok,กรุงเทพมหานคร,10210,กรรมการผู้จัดการใหญ่,ศูนย์ป้องกันและปราบปรามทุจริต,ศูนย์ป้องกันและปราบปรามทุจริต,กรรมการผู้จัดการใหญ่,ศปท.,ศปท.,1B00200,ศูนย์ป้องกันและปราบปรามทุจริต,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,ศูนย์ป้องกันและปราบปรามทุจริต,ศปท.,
1B00202,1B00200,SH000,Bangkok,กรุงเทพมหานคร,10210,กรรมการผู้จัดการใหญ่,ส่วนรับเรื่องร้องเรียนทุจริต,ศูนย์ป้องกันและปราบปรามทุจริต,กรรมการผู้จัดการใหญ่,รศปท.,ศปท.,1B00202,ส่วนรับเรื่องร้องเรียนทุจริต,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,ศูนย์ป้องกันและปราบปรามทุจริต,ศปท.,
1B00203,1B00200,SH000,Bangkok,กรุงเทพมหานคร,10210,กรรมการผู้จัดการใหญ่,ส่วนป้องกันและปราบปรามการทุจริต,ศูนย์ป้องกันและปราบปรามทุจริต,กรรมการผู้จัดการใหญ่,ปศปท.,ศปท.,1B00203,ส่วนป้องกันและปราบปรามการทุจริต,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,ศูนย์ป้องกันและปราบปรามทุจริต,ศปท.,
1B00100,1B00100,MB000,Bangkok,กรุงเทพมหานคร,10210,กรรมการผู้จัดการใหญ่,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,กรรมการผู้จัดการใหญ่,ศถ.,ศถ.,1B00100,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,ศถ.,
1B00102,1B00100,MB000,Bangkok,กรุงเทพมหานคร,10210,กรรมการผู้จัดการใหญ่,ส่วนอาชีวอนามัย,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,กรรมการผู้จัดการใหญ่,มศถ.,ศถ.,1B00102,ส่วนอาชีวอนามัย,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,ศถ.,
1B00103,1B00100,MB000,Bangkok,กรุงเทพมหานคร,10210,กรรมการผู้จัดการใหญ่,ส่วนสภาพแวดล้อมในการทำงาน,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,กรรมการผู้จัดการใหญ่,ลศถ.,ศถ.,1B00103,ส่วนสภาพแวดล้อมในการทำงาน,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,ศถ.,
1B00106,1B00100,MB000,Bangkok,กรุงเทพมหานคร,10210,กรรมการผู้จัดการใหญ่,ส่วนความปลอดภัย,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,กรรมการผู้จัดการใหญ่,ปศถ.,ศถ.,1B00106,ส่วนความปลอดภัย,กรรมการผู้จัดการใหญ่,กรรมการผู้จัดการใหญ่,ศูนย์มาตรฐานความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน,ศถ.,
2B10000,2B10000,S0005,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,กลุ่มบริหารงานเลขานุการบริษัท,กลุ่มบริหารงานเลขานุการบริษัท,กรรมการผู้จัดการใหญ่,ชจญ.จ.,จ.,2B10000,กลุ่มบริหารงานเลขานุการบริษัท,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,กลุ่มบริหารงานเลขานุการบริษัท,จ.,
2B10100,2B10100,S0001,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการคณะกรรมการบริษัท,ฝ่ายเลขานุการคณะกรรมการบริษัท,กรรมการผู้จัดการใหญ่,กจ.,กจ.,2B10100,ฝ่ายเลขานุการคณะกรรมการบริษัท,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการคณะกรรมการบริษัท,กจ.,
2B10101,2B10100,S0001,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,ส่วนสนับสนุนคณะกรรมการบริษัท,ฝ่ายเลขานุการคณะกรรมการบริษัท,กรรมการผู้จัดการใหญ่,สกจ.,กจ.,2B10101,ส่วนสนับสนุนคณะกรรมการบริษัท,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการคณะกรรมการบริษัท,กจ.,
2B10102,2B10100,S0001,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,ส่วนเลขานุการการประชุม,ฝ่ายเลขานุการคณะกรรมการบริษัท,กรรมการผู้จัดการใหญ่,ลกจ.,กจ.,2B10102,ส่วนเลขานุการการประชุม,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการคณะกรรมการบริษัท,กจ.,
2B10103,2B10100,S0001,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,ส่วนกำกับดูแลกิจการที่ดี,ฝ่ายเลขานุการคณะกรรมการบริษัท,กรรมการผู้จัดการใหญ่,กกจ.,กจ.,2B10103,ส่วนกำกับดูแลกิจการที่ดี,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการคณะกรรมการบริษัท,กจ.,
1C00100,1C00100,SB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการผู้บริหาร,ฝ่ายเลขานุการผู้บริหาร,กรรมการผู้จัดการใหญ่,ลจ.,ลจ.,1C00100,ฝ่ายเลขานุการผู้บริหาร,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการผู้บริหาร,ลจ.,
1C00104,1C00100,SB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,ส่วนการประชุมผู้บริหาร,ฝ่ายเลขานุการผู้บริหาร,กรรมการผู้จัดการใหญ่,ปลจ.,ลจ.,1C00104,ส่วนการประชุมผู้บริหาร,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการผู้บริหาร,ลจ.,
1C00106,1C00100,SB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,ส่วนสนับสนุนผู้บริหาร,ฝ่ายเลขานุการผู้บริหาร,กรรมการผู้จัดการใหญ่,สลจ.,ลจ.,1C00106,ส่วนสนับสนุนผู้บริหาร,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการผู้บริหาร,ลจ.,
1C00107,1C00100,SB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มบริหารงานเลขานุการบริษัท,ส่วนเลขานุการและบริหารเอกสารกลาง,ฝ่ายเลขานุการผู้บริหาร,กรรมการผู้จัดการใหญ่,ลลจ.,ลจ.,1C00107,ส่วนเลขานุการและบริหารเอกสารกลาง,กรรมการผู้จัดการใหญ่,กลุ่มบริหารงานเลขานุการบริษัท,ฝ่ายเลขานุการผู้บริหาร,ลจ.,
1F00000,1F00000,J0000,Bangkok,กรุงเทพมหานคร,10210,สายงานกลยุทธ์,สายงานกลยุทธ์,สายงานกลยุทธ์,สายงานกลยุทธ์,รจญ.ย.,ย.,1F00000,สายงานกลยุทธ์,สายงานกลยุทธ์,สายงานกลยุทธ์,สายงานกลยุทธ์,ย.,
1F10000,1F10000,J0002,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,กลุ่มกลยุทธ์องค์กร,กลุ่มกลยุทธ์องค์กร,สายงานกลยุทธ์,ชจญ.ย.,ย.,1F10000,กลุ่มกลยุทธ์องค์กร,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,กลุ่มกลยุทธ์องค์กร,ย.,
1F00100,1F00100,JA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,สายงานกลยุทธ์,ผย.,ผย.,1F00100,ฝ่ายวางแผนกลยุทธ์องค์กร,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,ผย.,
1F00102,1F00100,JA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนบริหารแผนปฏิบัติการ,ฝ่ายวางแผนกลยุทธ์องค์กร,สายงานกลยุทธ์,บผย.,ผย.,1F00102,ส่วนบริหารแผนปฏิบัติการ,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,ผย.,
1F00103,1F00100,JA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนนโยบายและยุทธศาสตร์ภาครัฐ,ฝ่ายวางแผนกลยุทธ์องค์กร,สายงานกลยุทธ์,นผย.,ผย.,1F00103,ส่วนนโยบายและยุทธศาสตร์ภาครัฐ,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,ผย.,
1F00104,1F00100,JA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,สายงานกลยุทธ์,กผย.,ผย.,1F00104,ส่วนกลยุทธ์องค์กร,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,ผย.,
1F00111,1F00100,JA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนประเมินผลองค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,สายงานกลยุทธ์,ปผย.,ผย.,1F00111,ส่วนประเมินผลองค์กร,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,ผย.,
1F00112,1F00100,JA000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนวิเคราะห์ธุรกิจองค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,สายงานกลยุทธ์,วผย.,ผย.,1F00112,ส่วนวิเคราะห์ธุรกิจองค์กร,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายวางแผนกลยุทธ์องค์กร,ผย.,
2K10200,2K10200,KD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ฝ่ายพัฒนาองค์กรและประเมินผล,ฝ่ายพัฒนาองค์กรและประเมินผล,สายงานกลยุทธ์,ปย.,ปย.,2K10200,ฝ่ายพัฒนาองค์กรและประเมินผล,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายพัฒนาองค์กรและประเมินผล,ปย.,
2K10201,2K10200,KD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนประเมินผลหน่วยงาน,ฝ่ายพัฒนาองค์กรและประเมินผล,สายงานกลยุทธ์,ปปย.,ปย.,2K10201,ส่วนประเมินผลหน่วยงาน,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายพัฒนาองค์กรและประเมินผล,ปย.,
2K10202,2K10200,KD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนการจัดองค์กร,ฝ่ายพัฒนาองค์กรและประเมินผล,สายงานกลยุทธ์,จปย.,ปย.,2K10202,ส่วนการจัดองค์กร,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายพัฒนาองค์กรและประเมินผล,ปย.,
2K10204,2K10200,KD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนพัฒนาองค์กร,ฝ่ายพัฒนาองค์กรและประเมินผล,สายงานกลยุทธ์,พปย.,ปย.,2K10204,ส่วนพัฒนาองค์กร,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายพัฒนาองค์กรและประเมินผล,ปย.,
2K10205,2K10200,KD000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนบริหารความยั่งยืน,ฝ่ายพัฒนาองค์กรและประเมินผล,สายงานกลยุทธ์,ยปย.,ปย.,2K10205,ส่วนบริหารความยั่งยืน,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายพัฒนาองค์กรและประเมินผล,ปย.,
1F10200,1F10200,TB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สายงานกลยุทธ์,สย.,สย.,1F10200,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สย.,
1F10201,1F10200,TB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนควบคุมภายใน,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สายงานกลยุทธ์,นสย.,สย.,1F10201,ส่วนควบคุมภายใน,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สย.,
1F10204,1F10200,TB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนบริหารความเสี่ยงในภาพรวม,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สายงานกลยุทธ์,รสย.,สย.,1F10204,ส่วนบริหารความเสี่ยงในภาพรวม,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สย.,
1F10205,1F10200,TB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนบริหารความต่อเนื่องทางธุรกิจ,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สายงานกลยุทธ์,ตสย.,สย.,1F10205,ส่วนบริหารความต่อเนื่องทางธุรกิจ,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สย.,
1F10206,1F10200,TB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนบริหารความเสี่ยง,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สายงานกลยุทธ์,บสย.,สย.,1F10206,ส่วนบริหารความเสี่ยง,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารความเสี่ยงและควบคุมภายใน,สย.,
1K00300,1K00300,JB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ฝ่ายรัฐกิจสัมพันธ์,ฝ่ายรัฐกิจสัมพันธ์,สายงานกลยุทธ์,ฐย.,ฐย.,1K00300,ฝ่ายรัฐกิจสัมพันธ์,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายรัฐกิจสัมพันธ์,ฐย.,
1K00302,1K00300,JB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนกฎเกณฑ์ใบอนุญาตประกอบกิจการโทรคมนาคม,ฝ่ายรัฐกิจสัมพันธ์,สายงานกลยุทธ์,บฐย.,ฐย.,1K00302,ส่วนกฎเกณฑ์ใบอนุญาตประกอบกิจการโทรคมนาคม,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายรัฐกิจสัมพันธ์,ฐย.,
1K00303,1K00300,JB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนกฎเกณฑ์การกำกับดูแล,ฝ่ายรัฐกิจสัมพันธ์,สายงานกลยุทธ์,กฐย.,ฐย.,1K00303,ส่วนกฎเกณฑ์การกำกับดูแล,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายรัฐกิจสัมพันธ์,ฐย.,
1K00304,1K00300,JB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนกฎเกณฑ์การจัดการทรัพยากรโทรคมนาคม,ฝ่ายรัฐกิจสัมพันธ์,สายงานกลยุทธ์,จฐย.,ฐย.,1K00304,ส่วนกฎเกณฑ์การจัดการทรัพยากรโทรคมนาคม,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายรัฐกิจสัมพันธ์,ฐย.,
1K00306,1K00300,JB000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนกฎเกณฑ์การเชื่อมต่อโครงข่ายโทรคมนาคม,ฝ่ายรัฐกิจสัมพันธ์,สายงานกลยุทธ์,ชฐย.,ฐย.,1K00306,ส่วนกฎเกณฑ์การเชื่อมต่อโครงข่ายโทรคมนาคม,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายรัฐกิจสัมพันธ์,ฐย.,
2K10500,2K10500,JK000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ฝ่ายแสวงหาโอกาสและพัฒนาธุรกิจ,ฝ่ายแสวงหาโอกาสและพัฒนาธุรกิจ,สายงานกลยุทธ์,พย.,พย.,2K10500,ฝ่ายแสวงหาโอกาสและพัฒนาธุรกิจ,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายแสวงหาโอกาสและพัฒนาธุรกิจ,พย.,
2K10501,2K10500,JK000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนแสวงหาโอกาสและพัฒนาธุรกิจ,ฝ่ายแสวงหาโอกาสและพัฒนาธุรกิจ,สายงานกลยุทธ์,พพย.,พย.,2K10501,ส่วนแสวงหาโอกาสและพัฒนาธุรกิจ,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายแสวงหาโอกาสและพัฒนาธุรกิจ,พย.,
2K10502,2K10500,JK000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนประเมินผลการลงทุน,ฝ่ายแสวงหาโอกาสและพัฒนาธุรกิจ,สายงานกลยุทธ์,ปพย.,พย.,2K10502,ส่วนประเมินผลการลงทุน,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายแสวงหาโอกาสและพัฒนาธุรกิจ,พย.,
2K10600,2K10600,SG000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารการเปลี่ยนแปลง,ฝ่ายบริหารการเปลี่ยนแปลง,สายงานกลยุทธ์,บย.,บย.,2K10600,ฝ่ายบริหารการเปลี่ยนแปลง,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารการเปลี่ยนแปลง,บย.,
2K10601,2K10600,SG000,Bangkok,กรุงเทพมหานคร,10210,กลุ่มกลยุทธ์องค์กร,ส่วนบริหารการเปลี่ยนแปลง,ฝ่ายบริหารการเปลี่ยนแปลง,สายงานกลยุทธ์,บบย.,บย.,2K10601,ส่วนบริหารการเปลี่ยนแปลง,สายงานกลยุทธ์,กลุ่มกลยุทธ์องค์กร,ฝ่ายบริหารการเปลี่ยนแปลง,บย.,
