บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
,ต-ค่าซ่อมแซมและบำรุงรักษา-อาคารและสิ่งปลูกสร้าง,,,,51642102,,,,,,,,,199990000,,,,,"871,529.49",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-อาคารและสิ่งปลูกสร้าง,,,,51642102,,,,,,,,,,,,,,"871,529.49",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-ศูนย์โทรคมนาคมและชุมสาย,,,,51642103,,,,,,,,,199990000,,,,,"66,048,885.90",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-ศูนย์โทรคมนาคมและชุมสาย,,,,51642103,,,,,,,,,,,,,,"66,048,885.90",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-เสาและสายเคเบิล,,,,51642104,,,,,,,,,199990000,,,,,"95,253,109.15",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-เสาและสายเคเบิล,,,,51642104,,,,,,,,,,,,,,"95,253,109.15",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
05.04.2024,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,3,,EITSAD04,51642105,,8100003247,31.03.2024,31.03.2024,WE,1J60500,1J60505,,103010003,,10301,,,"307,500.00",,,1.06011E+11,0,7001776,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
05.04.2024,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,3,,EITSAD04,51642105,,8100003250,31.03.2024,31.03.2024,WE,1J60500,1J60505,,103010003,,10301,,,"357,500.00",,,1.06011E+11,0,7001776,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
18.04.2024,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,4,,EITSAD04,51642105,,8100003498,01.04.2024,31.03.2024,WE,1J60500,1J60505,,103010003,,10301,,,"-307,500.00",,,1.06011E+11,0,7001776,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
18.04.2024,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,4,,EITSAD04,51642105,,8100003503,01.04.2024,31.03.2024,WE,1J60500,1J60505,,103010003,,10301,,,"-357,500.00",,,1.06011E+11,0,7001776,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,,,,51642105,,,,,,,,,103010003,,,,,0,,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
05.04.2024,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,3,,EITSAD04,51642105,,8100003252,31.03.2024,31.03.2024,WE,1J60500,1J60504,,103040004,,10304,,,"175,000.00",,,2.05011E+11,0,7000168,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
18.04.2024,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,4,,EITSAD04,51642105,,8100003501,01.04.2024,31.03.2024,WE,1J60500,1J60504,,103040004,,10304,,,"-175,000.00",,,2.05011E+11,0,7000168,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
05.04.2024,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,3,,EITSAD04,51642105,,8100003246,31.03.2024,31.03.2024,WE,1J60500,1J60505,,103040004,,10304,,,"380,250.00",,,1.06011E+11,0,7001776,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
18.04.2024,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,4,,EITSAD04,51642105,,8100003473,01.04.2024,31.03.2024,WE,1J60500,1J60505,,103040004,,10304,,,"-380,250.00",,,1.06011E+11,0,7001776,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,,,,51642105,,,,,,,,,103040004,,,,,0,,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,,,,51642105,,,,,,,,,199990000,,,,,"40,475,953.20",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,,,,51642105,,,,,,,,,,,,,,"40,475,953.20",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-ค.ตกแต่ง และค.ใช้ สนง.,,,,51642106,,,,,,,,,199990000,,,,,"3,935.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-ค.ตกแต่ง และค.ใช้ สนง.,,,,51642106,,,,,,,,,,,,,,"3,935.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-ยานพาหนะ,,,,51642108,,,,,,,,,199990000,,,,,"180,092.85",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-ยานพาหนะ,,,,51642108,,,,,,,,,,,,,,"180,092.85",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-อุปกรณ์สนับสนุน-กิจการ,,,,51642109,,,,,,,,,199990000,,,,,"63,306.54",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-อุปกรณ์สนับสนุน-กิจการ,,,,51642109,,,,,,,,,,,,,,"63,306.54",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-ระบบเครื่องปรับอากาศ,,,,51642112,,,,,,,,,199990000,,,,,"436,007.45",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษา-ระบบเครื่องปรับอากาศ,,,,51642112,,,,,,,,,,,,,,"436,007.45",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซม&บำรุงรักษา-ส/ท สิทธิฯส.เช่า-ดาวเทียม,,,,51642195,,,,,,,,,199990000,,,,,"3,841,352.52",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซม&บำรุงรักษา-ส/ท สิทธิฯส.เช่า-ดาวเทียม,,,,51642195,,,,,,,,,,,,,,"3,841,352.52",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซม&บำรุงรักษา-ส/ทประเภทสิทธิการใช้(IRU),,,,51642198,,,,,,,,,199990000,,,,,"1,684,756.82",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซม&บำรุงรักษา-ส/ทประเภทสิทธิการใช้(IRU),,,,51642198,,,,,,,,,,,,,,"1,684,756.82",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษาอื่น,,,,51642199,,,,,,,,,199990000,,,,,"3,161,382.26",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ต-ค่าซ่อมแซมและบำรุงรักษาอื่น,,,,51642199,,,,,,,,,,,,,,"3,161,382.26",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-อาคารและสิ่งปลูกสร้าง,,,,53642102,,,,,,,,,199990000,,,,,0,,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-อาคารและสิ่งปลูกสร้าง,,,,53642102,,,,,,,,,,,,,,0,,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,,,,53642105,,,,,,,,,199990000,,,,,"3,741,891.89",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,,,,53642105,,,,,,,,,,,,,,"3,741,891.89",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-ค.ตกแต่ง และค.ใช้ สนง.,,,,53642106,,,,,,,,,199990000,,,,,934.58,,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-ค.ตกแต่ง และค.ใช้ สนง.,,,,53642106,,,,,,,,,,,,,,934.58,,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-คอมพิวเตอร์,,,,53642107,,,,,,,,,199990000,,,,,"1,497,225.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-คอมพิวเตอร์,,,,53642107,,,,,,,,,,,,,,"1,497,225.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-ยานพาหนะ,,,,53642108,,,,,,,,,199990000,,,,,"4,334.31",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-ยานพาหนะ,,,,53642108,,,,,,,,,,,,,,"4,334.31",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-ระบบเครื่องปรับอากาศ,,,,53642112,,,,,,,,,199990000,,,,,"1,610.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษา-ระบบเครื่องปรับอากาศ,,,,53642112,,,,,,,,,,,,,,"1,610.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษาอื่น,,,,53642199,,,,,,,,,199990000,,,,,"15,863.18",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,ข-ค่าซ่อมแซมและบำรุงรักษาอื่น,,,,53642199,,,,,,,,,,,,,,"15,863.18",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-อาคารและสิ่งปลูกสร้าง,,,,54642102,,,,,,,,,199990000,,,,,"477,275.02",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-อาคารและสิ่งปลูกสร้าง,,,,54642102,,,,,,,,,,,,,,"477,275.02",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,,,,54642105,,,,,,,,,199990000,,,,,"3,938,162.45",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-เครื่องมือและอุปกรณ์อื่น,,,,54642105,,,,,,,,,,,,,,"3,938,162.45",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-ค.ตกแต่ง และค.ใช้ สนง.,,,,54642106,,,,,,,,,199990000,,,,,"1,700.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-ค.ตกแต่ง และค.ใช้ สนง.,,,,54642106,,,,,,,,,,,,,,"1,700.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-คอมพิวเตอร์,,,,54642107,,,,,,,,,199990000,,,,,"7,080,975.96",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-คอมพิวเตอร์,,,,54642107,,,,,,,,,,,,,,"7,080,975.96",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-ยานพาหนะ,,,,54642108,,,,,,,,,199990000,,,,,"8,940.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-ยานพาหนะ,,,,54642108,,,,,,,,,,,,,,"8,940.00",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-ระบบเครื่องปรับอากาศ,,,,54642112,,,,,,,,,199990000,,,,,"5,011.87",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษา-ระบบเครื่องปรับอากาศ,,,,54642112,,,,,,,,,,,,,,"5,011.87",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษาอื่น,,,,54642199,,,,,,,,,199990000,,,,,"112,956.04",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
,บ-ค่าซ่อมแซมและบำรุงรักษาอื่น,,,,54642199,,,,,,,,,,,,,,"112,956.04",,,,,,บันทึกรหัสกระบวนการทางธุรกิจ,ยกเว้นรหัสบัญชี 51642196 และ 51642197
