บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
04.03.2024,ต-ต้นทุนการให้บริการ-ติดตั้ง/ตรวจแก้วงจร,3,,ERSCS109,51109106,,3300004147,04.03.2024,20.02.2024,KR,2R10202,2R10202,2R10202R0601,199990000,,10202,,337,"9,198.00",VX,ต.จ้างเหมาแขวนเคเบิลใยแก้ว ม.เกษตรกำแพงแสน,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
04.03.2024,ต-ต้นทุนการให้บริการ-ติดตั้ง/ตรวจแก้วงจร,3,,ERSCS109,51109106,,3300004167,04.03.2024,22.02.2024,KR,2R10202,2R10202,2R10202R0601,199990000,,10202,,337,"3,430.00",VX,ต.จ้างเหมาแขวนเคเบิลใยแก้ว ชส.ทุ่งลูกนก กำแพงแสน,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
25.03.2024,ต-ต้นทุนการให้บริการ-ติดตั้ง/ตรวจแก้วงจร,3,,ERSCS109,51109106,,3300005847,25.03.2024,18.03.2024,KR,2R10202,2R10202,2R10202R0601,199990000,,10202,,337,"6,916.00",VX,ต.ค่าแรงแขวนสายฯใยแก้ว ชส.ห้วยพลู  ชส.ดอนตูม,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.03.2024,ต-เงินเดือน-พนักงาน,3,,EFAD0402,51601101,6410003294,6410004098,01.03.2024,29.02.2024,SC,1P00100,1P00100,1P00100R0113,199990000,,19201,,0,-834,,คชจ.ค้างจ่าย ตกเบิกเงินเดือน ก.พ..2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.03.2024,ต-เงินเดือน-พนักงาน,3,,EFAD0402,51601101,6410004237,6410004252,01.03.2024,29.02.2024,SC,1P00100,1P00100,1P00100R0113,199990000,,19201,,0,834,,คชจ.ค้างจ่าย ตกเบิกเงินเดือน ก.พ..2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.03.2024,ต-เงินเดือน-พนักงาน,3,,EFAD0402,51601101,6410003294,6410004098,01.03.2024,29.02.2024,SC,1P00100,1P00100,1P00100R0401,199990000,,19201,,0,-128.44,,คชจ.ค้างจ่าย ตกเบิกเงินเดือน ก.พ..2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.03.2024,ต-เงินเดือน-พนักงาน,3,,EFAD0402,51601101,6410004237,6410004252,01.03.2024,29.02.2024,SC,1P00100,1P00100,1P00100R0401,199990000,,19201,,0,128.44,,คชจ.ค้างจ่าย ตกเบิกเงินเดือน ก.พ..2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.03.2024,ต-เงินเดือน-พนักงาน,3,,EFAD0402,51601101,6410003294,6410004098,01.03.2024,29.02.2024,SC,1P00100,1P00100,1P00100R0501,199990000,,19201,,0,-45.87,,คชจ.ค้างจ่าย ตกเบิกเงินเดือน ก.พ..2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.03.2024,ต-เงินเดือน-พนักงาน,3,,EFAD0402,51601101,6410004237,6410004252,01.03.2024,29.02.2024,SC,1P00100,1P00100,1P00100R0501,199990000,,19201,,0,45.87,,คชจ.ค้างจ่าย ตกเบิกเงินเดือน ก.พ..2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
07.03.2024,ต-เงินเดือน-พนักงาน,3,,EFAD0402,51601101,6410003294,6410004098,01.03.2024,29.02.2024,SC,1P00100,1P00100,1P00100R0601,199990000,,19201,,0,-15.85,,คชจ.ค้างจ่าย ตกเบิกเงินเดือน ก.พ..2567,,,,ห้ามบันทึกรหัสกิจกรรมที่ยกเลิก,
